Flow Size (Bytes), FCT (ns) Flow 1, Standalone FCT (ns) Flow 1, FCT (ns) Flow 2, Standalone FCT (ns) Flow 2, FCT (ns) Flow 3, Standalone FCT (ns) Flow 3
9405440, 8757640, 3158856, 40502020, 17587165, 37266797, 17587165
9451520, 8797195, 3174309, 40573425, 17587165, 37264294, 17587165
9497600, 8836751, 3189761, 40568979, 17587165, 37278200, 17587165
9543680, 8876306, 3205213, 40518641, 17587165, 37292114, 17587165
9589760, 8916532, 3220665, 40584315, 17587165, 37289486, 17587165
9635840, 8956758, 3236117, 40591110, 17587165, 37295257, 17587165
9681920, 8996648, 3251569, 40597912, 17587165, 37300652, 17587165
9728000, 9037879, 3267022, 40547837, 17587165, 37315070, 17587165
9774080, 9078789, 3282489, 40641072, 17587165, 37631742, 17587165
9820160, 9119350, 3297941, 40678088, 17587165, 37665753, 17587165
9866240, 9159576, 3313393, 40663032, 17587165, 37688254, 17587165
9912320, 9199466, 3328846, 40699469, 17587165, 37722840, 17587165
9958400, 9239357, 3344298, 40715238, 17587165, 37727209, 17587165
10004480, 9279582, 3359750, 40679195, 17587165, 37740125, 17587165
10050560, 9319473, 3375202, 40721344, 17587165, 37736412, 17587165
10096640, 9359364, 3390654, 40704673, 17587165, 37821197, 17587165
10142720, 9399254, 3406106, 40718897, 17587165, 37826713, 17587165
10188800, 9439145, 3421559, 40758950, 17587165, 37795940, 17587165
10234880, 9479035, 3437011, 40773620, 17587165, 37870872, 17587165
10280960, 9518591, 3452463, 40796505, 17587165, 37876245, 17587165
10327040, 9558497, 3467930, 40749046, 17587165, 37885291, 17587165
10373120, 9598052, 3483383, 40799865, 17587165, 37887710, 17587165
10419200, 9637608, 3498835, 40800189, 17587165, 37892761, 17587165
10465280, 9676828, 3514287, 40771576, 17587165, 37899469, 17587165
10511360, 9716384, 3529739, 40871758, 17587165, 37875089, 17587165
10557440, 9755940, 3545191, 40822575, 17587165, 37885464, 17587165
10603520, 9795495, 3560643, 40887367, 17587165, 37884799, 17587165
10649600, 9834716, 3576096, 40882504, 17587165, 37894290, 17587165
10695680, 9873936, 3591548, 40873102, 17587165, 37900400, 17587165
10741760, 9913157, 3607000, 40886337, 17587165, 37903876, 17587165
10787840, 9952378, 3622452, 40916877, 17587165, 37903581, 17587165
10833920, 9991598, 3637904, 40918146, 17587165, 37917372, 17587165
10880000, 10030819, 3653356, 40925155, 17587165, 37922370, 17587165
10926080, 10071059, 3668824, 40879739, 17587165, 37927356, 17587165
10972160, 10110615, 3684276, 40946299, 17587165, 37931712, 17587165
11018240, 10150506, 3699728, 40937469, 17587165, 37937997, 17587165
11064320, 10189726, 3715180, 41017317, 17587165, 37888729, 17587165
11110400, 10228947, 3730632, 40975290, 17587165, 37899755, 17587165
11156480, 10268167, 3746085, 40982312, 17587165, 37905193, 17587165
11202560, 10307723, 3761537, 41016189, 17587165, 38293022, 17587165
11248640, 10347614, 3776989, 41044497, 17587165, 38297888, 17587165
11294720, 10387169, 3792441, 41055671, 17587165, 38294475, 17587165
11340800, 10426725, 3807893, 41064442, 17587165, 38305106, 17587165
11386880, 10466280, 3823345, 41102667, 17587165, 38285627, 17587165
11432960, 10505836, 3838798, 41114102, 17587165, 38283811, 17587165
11479040, 10545742, 3854265, 41114082, 17587165, 38426598, 17587165
11525120, 10585297, 3869717, 41142013, 17587165, 38444530, 17587165
11571200, 10624518, 3885169, 41167602, 17587165, 38443288, 17587165
11617280, 10664073, 3900622, 41173896, 17587165, 38446206, 17587165
11663360, 10703964, 3916074, 41181081, 17587165, 38451770, 17587165
11709440, 10744190, 3931526, 41187401, 17587165, 38456816, 17587165
11755520, 10783745, 3946978, 41194241, 17587165, 38461118, 17587165
11801600, 10823301, 3962430, 41200684, 17587165, 38464145, 17587165
11847680, 10862521, 3977882, 41207293, 17587165, 38468853, 17587165
11893760, 10901742, 3993335, 41205594, 17587165, 38478878, 17587165
11939840, 10941633, 4008787, 41220184, 17587165, 38478522, 17587165
11985920, 10981188, 4024239, 41226996, 17587165, 38482838, 17587165
12032000, 11020744, 4039691, 41224338, 17587165, 38494373, 17587165
12078080, 11060649, 4055159, 41240359, 17587165, 38493263, 17587165
12124160, 11100205, 4070611, 41249155, 17587165, 38497612, 17587165
